CODIGO;CODIGO_BARRAS;DESCRICAO;GRUPO;TAMANHO;NCM;PRECO_CUSTO;MARGEM_LUCRO;PRECO_VENDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_ATUAL;UNIDADE;CONTROLA_ESTOQUE;CFOP;CSOSN;CST;ICMS;ATIVO;EXIBIR_TELA;SOLICITA_QUANTIDADE;PERMITIR_COMBINACAO;CEST;CST_PIS;PIS;CST_COFINS;COFINS
212;;PIZZA SIMPLES - PRESUNTO;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-2;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
213;;PIZZA SIMPLES - VEGETARIANA;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
214;;PIZZA SIMPLES - MISTA 2;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
215;;PIZZA SIMPLES - PORTUGUESA;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-26;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
216;;PIZZA SIMPLES - SICILIANA;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
217;;PIZZA SIMPLES - CATUPIREZA;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
218;;PIZZA SIMPLES - BACON;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
219;;PIZZA SIMPLES - MUSSARELA ;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-4,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
220;;PIZZA SIMPLES - BRASILEIRA ;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-20,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
221;;PIZZA SIMPLES - FRANGO ;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-7;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
222;;PIZZA ESPECIAL - FRANGO CATUPIRY ORIGINAL ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-51,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
223;;PIZZA ESPECIAL - NORDESTINA ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-39,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
224;;PIZZA ESPECIAL - SERTANEJA ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-53;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
225;;PIZZA ESPECIAL - CARNE DE SOL NA NATA;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-45;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
226;;PIZZA ESPECIAL - SANTACRUZENSE ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-26;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
227;;PIZZA ESPECIAL - QUATRO QUEIJOS ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-24,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
228;;PIZZA ESPECIAL - FILE;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
229;;PIZZA ESPECIAL - FILE COM FRITAS;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-25,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
230;;PIZZA ESPECIAL - ATUM ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
231;;PIZZA ESPECIAL - DOM MATEUS;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-32,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
232;;PIZZA ESPECIAL - PEPPERONI;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-1,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
233;;PIZZA ESPECIAL - ITALIANA;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
234;;PIZZA ESPECIAL - A MODA DA CASA;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-17;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
235;;PIZZA ESPECIAL - STROGONOFF;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
236;;PIZZA ESPECIAL - PEITO DE PERU;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
237;;PIZZA ESPECIAL - CALAFRITAS;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
238;;PIZZA DOCE - BEIJINHO ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
239;;PIZZA DOCE - CHOCOLATE;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
240;;PIZZA DOCE - CHOCOBANA;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-1,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
241;;PIZZA DOCE - CHOCOLATE BRANCO ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
242;;PIZZA DOCE - DOIS AMORES ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-2;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
243;;PIZZA DOCE - TRES AMORES ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-6;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
244;;PIZZA DOCE - ROMEU E JULIETA ;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
245;;PIZZA DOCE - I;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
246;;PIZZA ESPECIAL - CAMARAO;PIZZA ; GRANDE;19022000.0;0;0;52;0;0;-11;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
247;;PIZZA SIMPLES - CALABRESA ;PIZZA ; GIGANTE;19022000.0;0;0;55;0;0;-79,33;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
